Name,Categories,Tags,File URL,Direct URL,Featured Image URL,File Size,Excerpt,Content,Published,cf:custom_field_1,cf:custom_field_2
"May 8, 2019 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2019/03/Board-Meeting-Minutes-5-8-2019-1.pdf,,,,,,,,
"April 10, 2019 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2019/03/Board-Meeting-Minutes-4-10-2019-1.pdf,,,,,,,,
"March 13, 2019 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2019/03/Board-Meeting-Minutes-3-13-2019-2.pdf,,,,,,,,
"February 13, 2019 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2019/02/Board-Meeting-Minutes-2-13-2019.pdf,,,,,,,,
"January 9, 2019 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2019/01/Board-Meeting-minutes-1-9-2019.pdf,,,,,,,,
"December 12, 2018 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2018/05/Board-Meeting-minutes-12-12-18.pdf,,,,,,,,
"August 8, 2018 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2018/05/board-meeting-minutes-8-8-2018-1.pdf,,,,,,,,
"July 11, 2018 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2018/07/board-meeting-minutes-7-11-2018.pdf,,,,,,,,
"June 13, 2018 - Minutes",Meeting Minutes,,https://cretetownship.com/wp-content/uploads/2018/06/board-meeting-minutes-6-13-2018-2.pdf,,,,,,,,
"May 11, 2022 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2022/06/OFFICE-OF-THE-ASSESSOR-5-11-2022.pdf,,,,,,,,
"April 13, 2022 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2022/05/Office-of-the-Assessor-4-13-2022.pdf,,,,,,,,
"February 9, 2022 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2022/03/Office-of-the-Assessor-2-9-2022.pdf,,,,,,,,
"January 12, 2022 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2022/02/Office-of-the-Assessor-1-12-2022.pdf,,,,,,,,
"September 9, 2020 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2020/03/office-of-the-assessor-9-9-2020.pdf,,,,,,,,
"March 11, 2020 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2020/08/OFFICE-OF-THE-ASSESSOR-3-11-2020.pdf,,,,,,,,
"August 12, 2020 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2020/08/Office-of-the-assessor-8-12-2020.pdf,,,,,,,,
"July 8, 2020 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2020/07/Assessors-Report-7-8-2020.pdf,,,,,,,,
"June 10, 2020 - Assessor Minutes",Assessor Minutes,,https://cretetownship.com/wp-content/uploads/2020/06/Office-of-the-Assessor-6-10-2020.pdf,,,,,,,,
